step,metric,value
1,loss,2.4245
1,grad_norm,1.5612066984176636
1,learning_rate,0.0004989293361884369
1,mean_token_accuracy,0.4740317538380623
1,epoch,0.0021384656508954825
2,loss,2.2555
2,grad_norm,0.9312677383422852
2,learning_rate,0.0004978586723768737
2,mean_token_accuracy,0.4984939470887184
2,epoch,0.004276931301790965
3,loss,2.2733
3,grad_norm,11.111963272094727
3,learning_rate,0.0004967880085653105
3,mean_token_accuracy,0.49689454585313797
3,epoch,0.006415396952686447
4,loss,2.2464
4,grad_norm,1.1469919681549072
4,learning_rate,0.0004957173447537474
4,mean_token_accuracy,0.4962836503982544
4,epoch,0.00855386260358193
5,loss,2.1263
5,grad_norm,0.9440551400184631
5,learning_rate,0.0004946466809421842
5,mean_token_accuracy,0.5136846229434013
5,epoch,0.010692328254477412
6,loss,2.1283
6,grad_norm,0.6928059458732605
6,learning_rate,0.000493576017130621
6,mean_token_accuracy,0.5152228623628616
6,epoch,0.012830793905372895
7,loss,2.164
7,grad_norm,0.6584809422492981
7,learning_rate,0.0004925053533190578
7,mean_token_accuracy,0.5151721015572548
7,epoch,0.014969259556268377
8,loss,2.0535
8,grad_norm,12.734749794006348
8,learning_rate,0.0004914346895074946
8,mean_token_accuracy,0.5306468717753887
8,epoch,0.01710772520716386
9,loss,2.0781
9,grad_norm,0.6616315245628357
9,learning_rate,0.0004903640256959315
9,mean_token_accuracy,0.5243404731154442
9,epoch,0.019246190858059342
10,loss,2.0611
10,grad_norm,0.6006314754486084
10,learning_rate,0.0004892933618843683
10,mean_token_accuracy,0.530319094657898
10,epoch,0.021384656508954825
11,loss,2.0643
11,grad_norm,0.6410070657730103
11,learning_rate,0.0004882226980728052
11,mean_token_accuracy,0.5274667888879776
11,epoch,0.023523122159850307
12,loss,2.0855
12,grad_norm,0.5896086692810059
12,learning_rate,0.000487152034261242
12,mean_token_accuracy,0.5219816267490387
12,epoch,0.02566158781074579
13,loss,2.0976
13,grad_norm,0.6154818534851074
13,learning_rate,0.0004860813704496788
13,mean_token_accuracy,0.5170812271535397
13,epoch,0.027800053461641272
14,loss,2.0145
14,grad_norm,0.5554885864257812
14,learning_rate,0.00048501070663811566
14,mean_token_accuracy,0.535355232656002
14,epoch,0.029938519112536754
15,loss,2.0549
15,grad_norm,0.5639358162879944
15,learning_rate,0.00048394004282655245
15,mean_token_accuracy,0.5220145396888256
15,epoch,0.03207698476343224
16,loss,2.0073
16,grad_norm,0.5639368891716003
16,learning_rate,0.0004828693790149893
16,mean_token_accuracy,0.531868115067482
16,epoch,0.03421545041432772
17,loss,2.0109
17,grad_norm,0.614410400390625
17,learning_rate,0.00048179871520342613
17,mean_token_accuracy,0.5433711260557175
17,epoch,0.0363539160652232
18,loss,2.0966
18,grad_norm,0.6563589572906494
18,learning_rate,0.00048072805139186297
18,mean_token_accuracy,0.519581887871027
18,epoch,0.038492381716118684
19,loss,2.0412
19,grad_norm,0.678156852722168
19,learning_rate,0.0004796573875802998
19,mean_token_accuracy,0.5288753509521484
19,epoch,0.04063084736701417
20,loss,2.0628
20,grad_norm,0.5402296781539917
